ATM_LI162221.PV¿01-Dec-2011 06:21:11.796¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿01-Dec-2011 14:21:13.828¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿01-Dec-2011 22:21:15.843¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿02-Dec-2011 06:21:17.859¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿02-Dec-2011 14:21:18.875¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿02-Dec-2011 22:21:19.89001¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿03-Dec-2011 06:21:21.906¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿03-Dec-2011 14:21:23.921¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿03-Dec-2011 22:21:24.953¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿04-Dec-2011 06:21:26.968¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿04-Dec-2011 14:21:28.968¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿04-Dec-2011 22:21:29.984¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿05-Dec-2011 06:21:32.01501¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿05-Dec-2011 14:21:34.031¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿05-Dec-2011 22:21:35.046¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿06-Dec-2011 06:21:37.06201¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿06-Dec-2011 14:21:39.06201¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿06-Dec-2011 22:21:41.06201¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿07-Dec-2011 06:21:42.078¿0¿1¿0¿True¿False¿False¿
ATM_LI162221.PV¿07-Dec-2011 14:21:44.078¿0¿1¿0¿True¿False¿False¿
